"","Country (ISO3 Code)","WHO-CHOICE Region","Income Group","Antibiotic","MSH Form","MSH Dose","MSH Cost","Scenario 1 Generic Cost Estimate","Scenario 2 Income Cost Estimate","Class","Category"
"1","COK","WPRO B",NA,"amikacin sulfate","vial","250mg/ml",0.674819741961717,NA,NA,"Aminoglycosides","Access"
"2","COK","WPRO B",NA,"amoxicillin/clavulanic acid","vial","1000/200mg",5.79336503432953,NA,NA,"Beta lactam - beta lactamase inhibitor","Access"
"3","COK","WPRO B",NA,"ampicillin","vial","1g",0.18131086866698,NA,NA,"Penicillins ","Access"
"4","COK","WPRO B",NA,"ampicillin","vial","250mg",0.128741445207323,NA,NA,"Penicillins ","Access"
"5","COK","WPRO B",NA,"ampicillin","vial","500mg",0.161677798272863,NA,NA,"Penicillins ","Access"
"6","COK","WPRO B",NA,"cefotaxime","vial","1g",1.15867300686591,NA,NA,"Third-generation cephalosporins","Watch"
"7","COK","WPRO B",NA,"cefotaxime","vial","500mg",1.05138846919314,NA,NA,"Third-generation cephalosporins","Watch"
"8","COK","WPRO B",NA,"ceftazidime","vial","1g",1.44834125858238,NA,NA,"Third-generation cephalosporins","Watch"
"9","COK","WPRO B",NA,"ceftazidime","vial","250mg",1.58781115755698,NA,NA,"Third-generation cephalosporins","Watch"
"10","COK","WPRO B",NA,"ceftriaxone","vial","1g",0.426992459937621,NA,NA,"Third-generation cephalosporins","Watch"
"11","COK","WPRO B",NA,"ceftriaxone","vial","250mg",0.379572694286257,NA,NA,"Third-generation cephalosporins","Watch"
"12","COK","WPRO B",NA,"ceftriaxone","vial","500mg",0.407681243156522,NA,NA,"Third-generation cephalosporins","Watch"
"13","COK","WPRO B",NA,"cefuroxime","vial","750mg",1.43375056145889,NA,NA,"Second-generation cephalosporins","Watch"
"14","COK","WPRO B",NA,"chloramphenicol","vial","1g",0.500053230092776,NA,NA,"Amphenicols","Access"
"15","COK","WPRO B",NA,"chloramphenicol in oil","ampoule","250mg/ml",0.354253543395483,NA,NA,"Amphenicols","Access"
"16","COK","WPRO B",NA,"ciprofloxacin","vial","2mg/ml",0.0107284537672769,NA,NA,"Fluoroquinolones","Watch"
"17","COK","WPRO B",NA,"clindamycin","vial","150mg/ml",0.50638301781547,NA,NA,"Lincosamides","Access"
"18","COK","WPRO B",NA,"cloxacillin","vial","1g",0.18131086866698,NA,NA,"Penicillins ","Access"
"19","COK","WPRO B",NA,"cloxacillin","vial","250mg",0.278939797949199,NA,NA,"Penicillins ","Access"
"20","COK","WPRO B",NA,"cloxacillin","vial","500mg",0.195043289489094,NA,NA,"Penicillins ","Access"
