"","syndrome","class","gram.stain","iso3c.x","whoc.region","Income.group","wb.region","TE.final","seTE.final","level","no.studies"
"1","B-J","penicillins","gp","STP","AFRO D",NA,NA,4.60765230047821,2.35986259573675,"global",3
"2","B-J","penicillins","gp","COK","WPRO B",NA,NA,4.60765230047821,2.35986259573675,"global",3
"3","B-J","penicillins","gp","NIU","WPRO B",NA,NA,4.60765230047821,2.35986259573675,"global",3
"4","B-J","penicillins","gp","AUS","WPRO A","High income","East Asia & Pacific",0.56451612903226,3.41517816260425,"income",1
"5","B-J","penicillins","gp","BRN","WPRO A","High income","East Asia & Pacific",0.56451612903226,3.41517816260425,"income",1
"6","B-J","penicillins","gp","JPN","WPRO A","High income","East Asia & Pacific",0.56451612903226,3.41517816260425,"income",1
"7","B-J","penicillins","gp","NZL","WPRO A","High income","East Asia & Pacific",0.56451612903226,3.41517816260425,"income",1
"8","B-J","penicillins","gp","SGP","WPRO A","High income","East Asia & Pacific",0.56451612903226,3.41517816260425,"income",1
"9","B-J","penicillins","gp","KOR","WPRO B","High income","East Asia & Pacific",0.56451612903226,3.41517816260425,"income",1
"10","B-J","penicillins","gp","PLW","WPRO B","High income","East Asia & Pacific",0.56451612903226,3.41517816260425,"income",1
"11","B-J","penicillins","gp","PRK","SEARO D","Low income","East Asia & Pacific",6.1,1.2546560091651,"whoc",1
"12","B-J","penicillins","gp","IDN","SEARO B","Lower middle income","East Asia & Pacific",6.1,1.2546560091651,"income",1
"13","B-J","penicillins","gp","TLS","SEARO B","Lower middle income","East Asia & Pacific",6.1,1.2546560091651,"income",1
"14","B-J","penicillins","gp","MMR","SEARO D","Lower middle income","East Asia & Pacific",6.1,1.2546560091651,"whoc",1
"15","B-J","penicillins","gp","FSM","WPRO B","Lower middle income","East Asia & Pacific",6.1,1.2546560091651,"income",1
"16","B-J","penicillins","gp","KHM","WPRO B","Lower middle income","East Asia & Pacific",6.1,1.2546560091651,"income",1
"17","B-J","penicillins","gp","KIR","WPRO B","Lower middle income","East Asia & Pacific",6.1,1.2546560091651,"income",1
"18","B-J","penicillins","gp","LAO","WPRO B","Lower middle income","East Asia & Pacific",6.1,1.2546560091651,"income",1
"19","B-J","penicillins","gp","MNG","WPRO B","Lower middle income","East Asia & Pacific",6.1,1.2546560091651,"income",1
"20","B-J","penicillins","gp","PHL","WPRO B","Lower middle income","East Asia & Pacific",6.1,1.2546560091651,"income",1
"21","B-J","penicillins","gp","PNG","WPRO B","Lower middle income","East Asia & Pacific",6.1,1.2546560091651,"income",1
"22","B-J","penicillins","gp","SLB","WPRO B","Lower middle income","East Asia & Pacific",6.1,1.2546560091651,"income",1
"23","B-J","penicillins","gp","VNM","WPRO B","Lower middle income","East Asia & Pacific",6.1,1.2546560091651,"income",1
"24","B-J","penicillins","gp","VUT","WPRO B","Lower middle income","East Asia & Pacific",6.1,1.2546560091651,"income",1
"25","B-J","penicillins","gp","THA","SEARO B","Upper middle income","East Asia & Pacific",13,14.2315833032427,"income",1
"26","B-J","penicillins","gp","CHN","WPRO B","Upper middle income","East Asia & Pacific",13,14.2315833032427,"income",1
"27","B-J","penicillins","gp","FJI","WPRO B","Upper middle income","East Asia & Pacific",13,14.2315833032427,"income",1
"28","B-J","penicillins","gp","MHL","WPRO B","Upper middle income","East Asia & Pacific",13,14.2315833032427,"income",1
"29","B-J","penicillins","gp","MYS","WPRO B","Upper middle income","East Asia & Pacific",13,14.2315833032427,"income",1
"30","B-J","penicillins","gp","NRU","WPRO B","Upper middle income","East Asia & Pacific",13,14.2315833032427,"income",1
"31","B-J","penicillins","gp","TON","WPRO B","Upper middle income","East Asia & Pacific",13,14.2315833032427,"income",1
"32","B-J","penicillins","gp","TUV","WPRO B","Upper middle income","East Asia & Pacific",13,14.2315833032427,"income",1
"33","B-J","penicillins","gp","WSM","WPRO B","Upper middle income","East Asia & Pacific",13,14.2315833032427,"income",1
"34","B-J","penicillins","gp","CYP","EMRO E","High income","Europe & Central Asia",0.56451612903226,3.41517816260425,"income",1
"35","B-J","penicillins","gp","AND","EURO A","High income","Europe & Central Asia",0.56451612903226,3.41517816260425,"income",1
"36","B-J","penicillins","gp","AUT","EURO A","High income","Europe & Central Asia",0.56451612903226,3.41517816260425,"income",1
"37","B-J","penicillins","gp","BEL","EURO A","High income","Europe & Central Asia",0.56451612903226,3.41517816260425,"income",1
"38","B-J","penicillins","gp","CHE","EURO A","High income","Europe & Central Asia",0.56451612903226,3.41517816260425,"income",1
"39","B-J","penicillins","gp","CZE","EURO A","High income","Europe & Central Asia",0.56451612903226,3.41517816260425,"income",1
"40","B-J","penicillins","gp","DEU","EURO A","High income","Europe & Central Asia",0.56451612903226,3.41517816260425,"income",1
"41","B-J","penicillins","gp","DNK","EURO A","High income","Europe & Central Asia",0.56451612903226,3.41517816260425,"income",1
"42","B-J","penicillins","gp","ESP","EURO A","High income","Europe & Central Asia",0.56451612903226,3.41517816260425,"income",1
"43","B-J","penicillins","gp","FIN","EURO A","High income","Europe & Central Asia",0.56451612903226,3.41517816260425,"income",1
"44","B-J","penicillins","gp","FRA","EURO A","High income","Europe & Central Asia",0.56451612903226,3.41517816260425,"income",1
"45","B-J","penicillins","gp","GBR","EURO A","High income","Europe & Central Asia",0.56451612903226,3.41517816260425,"income",1
"46","B-J","penicillins","gp","GRC","EURO A","High income","Europe & Central Asia",0.56451612903226,3.41517816260425,"income",1
"47","B-J","penicillins","gp","HRV","EURO A","High income","Europe & Central Asia",0.56451612903226,3.41517816260425,"income",1
"48","B-J","penicillins","gp","IRL","EURO A","High income","Europe & Central Asia",0.56451612903226,3.41517816260425,"income",1
"49","B-J","penicillins","gp","ISL","EURO A","High income","Europe & Central Asia",0.56451612903226,3.41517816260425,"income",1
"50","B-J","penicillins","gp","ITA","EURO A","High income","Europe & Central Asia",0.56451612903226,3.41517816260425,"income",1
"51","B-J","penicillins","gp","LUX","EURO A","High income","Europe & Central Asia",0.56451612903226,3.41517816260425,"income",1
"52","B-J","penicillins","gp","MCO","EURO A","High income","Europe & Central Asia",0.56451612903226,3.41517816260425,"income",1
"53","B-J","penicillins","gp","NLD","EURO A","High income","Europe & Central Asia",0.56451612903226,3.41517816260425,"income",1
"54","B-J","penicillins","gp","NOR","EURO A","High income","Europe & Central Asia",0.56451612903226,3.41517816260425,"income",1
"55","B-J","penicillins","gp","PRT","EURO A","High income","Europe & Central Asia",0.56451612903226,3.41517816260425,"income",1
"56","B-J","penicillins","gp","SMR","EURO A","High income","Europe & Central Asia",0.56451612903226,3.41517816260425,"income",1
"57","B-J","penicillins","gp","SVN","EURO A","High income","Europe & Central Asia",0.56451612903226,3.41517816260425,"income",1
"58","B-J","penicillins","gp","SWE","EURO A","High income","Europe & Central Asia",0.56451612903226,3.41517816260425,"income",1
"59","B-J","penicillins","gp","POL","EURO B","High income","Europe & Central Asia",0.56451612903226,3.41517816260425,"income",1
"60","B-J","penicillins","gp","SVK","EURO B","High income","Europe & Central Asia",0.56451612903226,3.41517816260425,"income",1
"61","B-J","penicillins","gp","EST","EURO C","High income","Europe & Central Asia",0.56451612903226,3.41517816260425,"income",1
"62","B-J","penicillins","gp","HUN","EURO C","High income","Europe & Central Asia",0.56451612903226,3.41517816260425,"income",1
"63","B-J","penicillins","gp","LTU","EURO C","High income","Europe & Central Asia",0.56451612903226,3.41517816260425,"income",1
"64","B-J","penicillins","gp","LVA","EURO C","High income","Europe & Central Asia",0.56451612903226,3.41517816260425,"income",1
"65","B-J","penicillins","gp","TJK","EURO B","Low income","Europe & Central Asia",4.60765230047821,2.35986259573675,"global",3
"66","B-J","penicillins","gp","KGZ","EURO B","Lower middle income","Europe & Central Asia",6.1,1.2546560091651,"income",1
"67","B-J","penicillins","gp","UZB","EURO B","Lower middle income","Europe & Central Asia",6.1,1.2546560091651,"income",1
"68","B-J","penicillins","gp","MDA","EURO C","Lower middle income","Europe & Central Asia",6.1,1.2546560091651,"income",1
"69","B-J","penicillins","gp","UKR","EURO C","Lower middle income","Europe & Central Asia",6.1,1.2546560091651,"income",1
"70","B-J","penicillins","gp","ALB","EURO B","Upper middle income","Europe & Central Asia",13,14.2315833032427,"income",1
"71","B-J","penicillins","gp","ARM","EURO B","Upper middle income","Europe & Central Asia",13,14.2315833032427,"income",1
"72","B-J","penicillins","gp","AZE","EURO B","Upper middle income","Europe & Central Asia",13,14.2315833032427,"income",1
"73","B-J","penicillins","gp","BGR","EURO B","Upper middle income","Europe & Central Asia",13,14.2315833032427,"income",1
"74","B-J","penicillins","gp","BIH","EURO B","Upper middle income","Europe & Central Asia",13,14.2315833032427,"income",1
"75","B-J","penicillins","gp","GEO","EURO B","Upper middle income","Europe & Central Asia",13,14.2315833032427,"income",1
"76","B-J","penicillins","gp","MKD","EURO B","Upper middle income","Europe & Central Asia",13,14.2315833032427,"income",1
"77","B-J","penicillins","gp","MNE","EURO B","Upper middle income","Europe & Central Asia",13,14.2315833032427,"income",1
"78","B-J","penicillins","gp","ROU","EURO B","Upper middle income","Europe & Central Asia",13,14.2315833032427,"income",1
"79","B-J","penicillins","gp","SRB","EURO B","Upper middle income","Europe & Central Asia",13,14.2315833032427,"income",1
"80","B-J","penicillins","gp","TKM","EURO B","Upper middle income","Europe & Central Asia",13,14.2315833032427,"income",1
"81","B-J","penicillins","gp","TUR","EURO B","Upper middle income","Europe & Central Asia",13,14.2315833032427,"income",1
"82","B-J","penicillins","gp","BLR","EURO C","Upper middle income","Europe & Central Asia",13,14.2315833032427,"income",1
"83","B-J","penicillins","gp","KAZ","EURO C","Upper middle income","Europe & Central Asia",13,14.2315833032427,"income",1
"84","B-J","penicillins","gp","RUS","EURO C","Upper middle income","Europe & Central Asia",13,14.2315833032427,"income",1
"85","B-J","penicillins","gp","ATG","AMRO B","High income","Latin America & Caribbean",13,14.2315833032427,"whoc",1
"86","B-J","penicillins","gp","BHS","AMRO B","High income","Latin America & Caribbean",13,14.2315833032427,"whoc",1
"87","B-J","penicillins","gp","BRB","AMRO B","High income","Latin America & Caribbean",13,14.2315833032427,"whoc",1
"88","B-J","penicillins","gp","CHL","AMRO B","High income","Latin America & Caribbean",13,14.2315833032427,"whoc",1
"89","B-J","penicillins","gp","KNA","AMRO B","High income","Latin America & Caribbean",13,14.2315833032427,"whoc",1
"90","B-J","penicillins","gp","PAN","AMRO B","High income","Latin America & Caribbean",13,14.2315833032427,"whoc",1
"91","B-J","penicillins","gp","TTO","AMRO B","High income","Latin America & Caribbean",13,14.2315833032427,"whoc",1
"92","B-J","penicillins","gp","URY","AMRO B","High income","Latin America & Caribbean",13,14.2315833032427,"whoc",1
"93","B-J","penicillins","gp","HTI","AMRO D","Low income","Latin America & Caribbean",13,14.2315833032427,"wbregion",1
"94","B-J","penicillins","gp","HND","AMRO B","Lower middle income","Latin America & Caribbean",13,14.2315833032427,"whoc",1
"95","B-J","penicillins","gp","SLV","AMRO B","Lower middle income","Latin America & Caribbean",13,14.2315833032427,"whoc",1
"96","B-J","penicillins","gp","BOL","AMRO D","Lower middle income","Latin America & Caribbean",6.1,1.2546560091651,"income",1
"97","B-J","penicillins","gp","NIC","AMRO D","Lower middle income","Latin America & Caribbean",6.1,1.2546560091651,"income",1
"98","B-J","penicillins","gp","CUB","AMRO A","Upper middle income","Latin America & Caribbean",0.56451612903226,3.41517816260425,"whoc",1
"99","B-J","penicillins","gp","ARG","AMRO B","Upper middle income","Latin America & Caribbean",13,14.2315833032427,"whoc",1
"100","B-J","penicillins","gp","BLZ","AMRO B","Upper middle income","Latin America & Caribbean",13,14.2315833032427,"whoc",1
"101","B-J","penicillins","gp","BRA","AMRO B","Upper middle income","Latin America & Caribbean",13,14.2315833032427,"whoc",1
"102","B-J","penicillins","gp","COL","AMRO B","Upper middle income","Latin America & Caribbean",13,14.2315833032427,"whoc",1
"103","B-J","penicillins","gp","CRI","AMRO B","Upper middle income","Latin America & Caribbean",13,14.2315833032427,"whoc",1
"104","B-J","penicillins","gp","DMA","AMRO B","Upper middle income","Latin America & Caribbean",13,14.2315833032427,"whoc",1
"105","B-J","penicillins","gp","DOM","AMRO B","Upper middle income","Latin America & Caribbean",13,14.2315833032427,"whoc",1
"106","B-J","penicillins","gp","GRD","AMRO B","Upper middle income","Latin America & Caribbean",13,14.2315833032427,"whoc",1
"107","B-J","penicillins","gp","GUY","AMRO B","Upper middle income","Latin America & Caribbean",13,14.2315833032427,"whoc",1
"108","B-J","penicillins","gp","JAM","AMRO B","Upper middle income","Latin America & Caribbean",13,14.2315833032427,"whoc",1
"109","B-J","penicillins","gp","LCA","AMRO B","Upper middle income","Latin America & Caribbean",13,14.2315833032427,"whoc",1
"110","B-J","penicillins","gp","MEX","AMRO B","Upper middle income","Latin America & Caribbean",13,14.2315833032427,"whoc",1
"111","B-J","penicillins","gp","PRY","AMRO B","Upper middle income","Latin America & Caribbean",13,14.2315833032427,"whoc",1
"112","B-J","penicillins","gp","SUR","AMRO B","Upper middle income","Latin America & Caribbean",13,14.2315833032427,"whoc",1
